X,elements,lru,rand,opt,cf_lru,lru_wsr,lfu_5,lfu_5_w1,zipf_best_read,staticOpt,lfu20,lfu5_w03,lfu5_w05,lfu5_w01,lfu5_w2,lfu5_w5,lfu5_w7,lfu20_h20_-1,lfu1_h1_-2,lfu1_h1_-1,lfu1_h1_2,lfu1_h1_inf,lfu3_h1_-2,lfu3_h1_-1,lfu3_h1_2,lfu3_h1_inf,lfu3_h3_-2,lfu3_h3_-1,lfu3_h3_2,lfu3_h3_inf,lfu5_h1_-2,lfu5_h1_-1,lfu5_h1_2,lfu5_h1_inf,lfu5_h3_-2,lfu5_h3_-1,lfu5_h3_2,lfu5_h3_inf,lfu5_h5_-2,lfu5_h5_-1,lfu5_h5_2,lfu5_h5_inf,lfu10_h1_-2,lfu10_h1_-1,lfu10_h1_2,lfu10_h1_inf,lfu10_h3_-2,lfu10_h3_-1,lfu10_h3_2,lfu10_h3_inf,lfu10_h5_-2,lfu10_h5_-1,lfu10_h5_2,lfu10_h5_inf,lfu10_h10_-2,lfu10_h10_-1,lfu10_h10_2,lfu10_h10_inf,lfu20_h1_-2,lfu20_h1_-1,lfu20_h1_2,lfu20_h1_inf,lfu20_h3_-2,lfu20_h3_-1,lfu20_h3_2,lfu20_h3_inf,lfu20_h5_-2,lfu20_h5_-1,lfu20_h5_2,lfu20_h5_inf,lfu20_h10_-2,lfu20_h10_-1,lfu20_h10_2,lfu20_h10_inf,lfu20_h20_-2,lfu20_h20_-1,lfu20_h20_2,lfu20_h20_inf,lfu50_h1_-2,lfu50_h1_-1,lfu50_h1_2,lfu50_h1_inf,lfu50_h3_-2,lfu50_h3_-1,lfu50_h3_2,lfu50_h3_inf,lfu50_h5_-2,lfu50_h5_-1,lfu50_h5_2,lfu50_h5_inf,lfu50_h10_-2,lfu50_h10_-1,lfu50_h10_2,lfu50_h10_inf,lfu50_h20_-2,lfu50_h20_-1,lfu50_h20_2,lfu50_h20_inf,lfu50_h50_-2,lfu50_h50_-1,lfu50_h50_2,lfu50_h50_inf,lfu1_w03,lfu1_w01,lfu1_w05,lfu1_w1,lfu1_w2,rand,lfu1_w7,lfu3_w03,lfu3_w01,lfu3_w05,lfu3_w1,lfu3_w2,lfu3_w7,lfu5_w03,lfu5_w01,lfu5_w05,lfu5_w1,lfu5_w2,lfu5_w7,lfu10_w03,lfu10_w01,lfu10_w05,lfu10_w1,lfu10_w2,lfu10_w7,lfu20_w03,lfu20_w01,lfu20_w05,lfu20_w1,lfu20_w2,lfu20_w7,lfu50_w03,lfu50_w01,lfu50_w05,lfu50_w1,lfu50_w2,lfu50_w7
3,847042,432755,438005,326417,432755,455442,532830,569899,530890,602471,531640,615952,594432,644853,557700,539839,532994,370468,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,370628,548679,548679,548679,548679,548679,437983,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679,548679
4,847042,423801,400407,275759,387949,391181,499592,544971,495217,559318,502973,587649,562062,629766,533304,509488,502515,335677,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,335871,515592,515592,515592,515592,515592,400473,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592,515592
5,847042,422208,369704,231271,382034,384885,458560,523551,470355,537735,458870,557463,538754,614080,506526,470975,465107,294105,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,299511,469724,469724,469724,469724,469724,369394,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724,469724
6,847042,260389,344767,218892,362258,269801,431050,500553,434227,518090,432106,534449,522642,598413,475004,440358,436201,277182,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,277425,433332,433332,433332,433332,433332,345251,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332,433332
7,847042,245609,326465,209526,264146,263612,402126,476323,406603,501206,381274,518096,500634,578856,445538,413067,408118,266463,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,268215,383946,383946,383946,383946,383946,326104,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946,383946
8,847042,242140,311534,201975,258876,256804,360017,451045,355631,485703,350120,499689,476119,560509,418247,374164,364338,257849,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,260601,354040,354040,354040,354040,354040,310522,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040,354040
9,847042,240250,298205,195446,236947,246834,344308,428320,338520,476671,340622,481289,458622,542293,393677,352740,347484,249516,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,254325,343572,343572,343572,343572,343572,298272,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572,343572
10,847042,237786,287451,189576,231165,242391,333699,412734,330222,467709,331351,466017,443876,525890,371566,340843,335188,239564,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,246554,333537,333537,333537,333537,333537,288272,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537,333537
11,847042,235806,278982,184173,223589,238564,326394,399391,322036,458776,321523,454838,429819,511361,355075,332054,328295,233680,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,238436,324316,324316,324316,324316,324316,279091,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316,324316
12,847042,232863,270512,179071,218314,234332,320407,387925,312287,449850,312968,445371,416062,498444,343997,325497,321626,230447,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,232413,313851,313851,313851,313851,313851,271071,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851,313851
13,847042,228309,263810,174127,215424,229211,312438,377038,305047,441072,306933,433227,403016,484787,336979,319298,313738,227835,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,303098,303098,303098,303098,303098,263721,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098
14,847042,224954,257017,169287,210632,225622,303645,364824,300015,432385,302090,422356,393178,474657,329901,311422,305585,224890,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,294512,294512,294512,294512,294512,256882,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512
15,847042,221481,250983,164523,208625,221815,296532,354000,294833,423711,296067,410107,383773,465662,325034,304138,298307,221789,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,283895,283895,283895,283895,283895,250903,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895
16,847042,217588,246009,159833,203650,217885,290469,344667,291011,415200,290442,398500,376586,454036,319753,296873,292302,218554,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,276121,276121,276121,276121,276121,245688,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121
